1,Dry Beets,1
2,Fierce Greens,2
3,Heavy Chicken,2
4,Yummy Fruit,3
5,Green Apples,4
6,Smooth Mushrooms,4
7,Quaint Beef,4
8,Shaky Honey,5
9,Large Mushrooms,5
10,Black Apples,5
11,Gigantic Bread,6
12,Gorgeous Fish,6
13,Curved Pretzel,6
14,Stupendous Carrots,7
15,Comfortable Pretzel,8
16,Obedient Fish,8
17,Defeated Apples,8
18,Yellow Bread,8
19,Jealous Burrito,9
20,Tall Pretzel,9
21,Embarrassed Bread,9
22,Purring Beets,9
23,Calm Carrots,10
24,Fierce Beef,10
25,Helpless Bread,10
26,Yummy Bread,10
27,Broken Beets,10
28,Quiet Honey,11
29,Crazy Fish,11
30,Depressed Beets,11
31,Sore Chicken,11
32,Disgusted Carrots,11
33,Tired Bread,12
34,Clumsy Chicken,12
35,Massive Apples,12
36,Mute Beef,13
37,Grand Honey,13
38,Bland Burrito,13
39,Horrible Burrito,14
40,Bad Chicken,14
41,Thundering Carrots,15
42,Grubby Beef,15
43,Skinny Mushrooms,15
44,Repulsive Chicken,15
45,Bland Chicken,16
46,Miniature Fish,16
47,Delicious Carrots,16
48,Robust Burrito,16
49,M Greens,16
50,Quaint Bread,17
51,Successful Apples,18
52,Sticky Fish,18
53,– Bread,18
54,Miniature Beets,18
55,Delightful Chicken,19
56,Nom nom Beef,19
57,Anxious Carrots,19
58,Thoughtless Honey,20
59,Cheerful Fish,21
60,Colossal Beets,21
61,Amused Apples,21
62,Righteous Fish,21
63,Rainy Bread,21
64,Fresh Apples,22
65,Worried Pretzel,22
66,Homeless Honey,22
67,Loose Fish,22
68,Better Apples,23
69,Swift Pretzel,23
70,Annoyed Fish,23
71,Mighty Beef,23
72,Ordinary Honey,23
73,Jolly Greens,24
74,Amused Beets,25
75,Obnoxious Fruit,26
76,Tough Beets,26
77,Harsh Greens,26
78,High Mushrooms,27
79,Weak Fish,27
80,Steep Beets,27
81,Worried Pretzel,27
82,Dangerous Mushrooms,27
83,Silly Beef,28
84,Hushed Honey,28
85,Agreeable Honey,28
