1,Feil-Farrell,8,1
2,"Hamill, Kilback and Pfeffer",5,1
3,"Breitenberg Inc",5,1
4,"Kris and Sons",5,1
5,"Reynolds, Schmitt and Klocko",3,1
6,"Zulauf and Sons",8,1
7,"Bechtelar Inc",4,2
8,"Stamm Inc",2,2
9,"Quigley, Breitenberg and Schuster",2,2
10,"Kertzmann LLC",11,3
11,Donnelly-Quigley,7,3
12,"Windler Inc",4,3
13,"Grady, Hudson and Olson",11,4
14,"Stracke Group",2,4
15,Hyatt-King,3,4
16,Homenick-Kuhn,4,4
17,"Langosh, Krajcik and Langosh",11,5
18,Von-Hamill,10,5
19,Labadie-Tremblay,2,6
20,"Ledner Group",7,6
21,Upton-Bruen,10,6
22,"Runolfsson and Sons",2,7
23,"Wilderman, Marks and Luettgen",3,7
24,"Heaney, Schiller and Stehr",7,8
25,"Veum, Dickinson and Conroy",9,8
26,"Schmitt Group",3,8
27,Ankunding-Prosacco,10,8
28,"Watsica and Sons",10,8
29,"White, Smith and Weimann",7,8
30,"Koelpin, Koelpin and Wintheiser",10,9
31,Bernhard-Harber,6,9
32,Jakubowski-Robel,7,9
33,"Breitenberg, Mante and Glover",2,9
34,Jacobs-McGlynn,10,9
35,"Runolfsdottir Inc",9,9
36,"Wuckert Inc",4,9
37,"Gerhold, Reilly and Morissette",9,9
38,"Marvin, Casper and Krajcik",10,9
39,"Weissnat LLC",11,9
40,Dickens-Weissnat,1,10
41,Kessler-Ziemann,1,10
42,"Tillman, Lockman and Klein",9,10
43,"Cartwright LLC",11,10
44,"Kassulke, Leannon and Bins",7,10
45,"Hyatt, Conroy and Ortiz",5,10
46,Cartwright-VonRueden,3,10
47,"Yost LLC",6,10
48,"Greenfelder Inc",8,10
49,"Tromp Inc",10,11
50,"Shields Inc",3,11
52,"Dicki LLC",4,12
54,"Bayer Inc",3,13
56,"Dibbert Inc",10,13
57,Parker-Thiel,4,13
58,"Greenholt, Will and Grant",10,13
59,"Wolf and Sons",3,13
60,"Schimmel and Sons",2,13
61,Ondricka-Wunsch,1,14
62,"Hoeger, Hoeger and Grady",10,14
63,Bosco-Schinner,6,14
64,"Larson, Mosciski and Murazik",6,14
65,Grady-Senger,4,14
66,Reilly-Howell,8,14
67,Farrell-Altenwerth,4,14
68,"Schowalter, Runolfsson and Muller",1,14
69,Emard-Streich,5,15
70,"Eichmann Group",8,16
71,"Spinka, Russel and Smith",1,16
72,Bartoletti-Parker,1,16
73,Renner-Wolff,3,16
74,Haag-Padberg,3,17
75,"O'Reilly, Hirthe and Hayes",9,17
76,"Mante Group",6,17
77,"Howe, Swaniawski and Hand",10,17
