1,9290,"2013-11-07 12:34:56.000000",1,1
2,2262,"2013-11-10 10:44:56.000000",1,1
3,9588,"2013-11-13 09:49:37.000000",1,1
4,1634,"2013-11-07 04:44:00.000000",1,1
5,4440,"2013-11-10 13:19:05.000000",1,1
6,6950,"2013-11-11 19:29:52.000000",1,1
7,4095,"2013-11-12 22:38:29.000000",1,1
8,5727,"2013-11-12 14:03:54.000000",2,2
9,9128,"2013-11-13 09:48:15.000000",3,4
10,5160,"2013-11-08 12:31:41.000000",3,4
11,1030,"2013-11-11 02:56:53.000000",3,4
12,5179,"2013-11-09 00:36:03.000000",3,4
13,3450,"2013-11-12 20:00:35.000000",3,4
14,4978,"2013-11-10 09:51:24.000000",3,4
15,8924,"2013-11-10 19:31:16.000000",3,4
16,2277,"2013-11-09 09:16:47.000000",3,4
17,3442,"2013-11-10 12:16:12.000000",4,7
18,5375,"2013-11-08 20:21:41.000000",4,5
19,9035,"2013-11-11 11:37:15.000000",4,6
20,51,"2013-11-10 17:48:05.000000",4,5
21,8963,"2013-11-10 20:26:30.000000",4,7
22,7180,"2013-11-12 14:40:46.000000",5,9
23,8382,"2013-11-09 16:13:09.000000",5,8
24,3776,"2013-11-09 00:12:20.000000",5,8
25,4951,"2013-11-10 07:42:41.000000",5,9
26,9690,"2013-11-10 05:45:12.000000",5,9
27,2851,"2013-11-13 12:14:40.000000",5,10
28,9015,"2013-11-06 22:19:49.000000",5,8
29,8445,"2013-11-11 14:44:12.000000",5,8
30,7459,"2013-11-10 09:44:14.000000",5,8
31,2977,"2013-11-09 18:57:21.000000",6,13
32,1980,"2013-11-12 11:41:53.000000",7,14
33,8559,"2013-11-11 14:26:33.000000",7,14
34,6027,"2013-11-07 21:01:30.000000",7,14
35,8375,"2013-11-11 01:04:00.000000",7,14
36,6433,"2013-11-11 23:39:50.000000",7,14
37,6350,"2013-11-08 04:25:38.000000",7,14
38,1995,"2013-11-12 00:20:22.000000",7,14
39,9348,"2013-11-08 18:38:56.000000",8,17
40,5432,"2013-11-12 09:22:56.000000",8,15
41,4263,"2013-11-09 00:36:05.000000",8,16
42,3043,"2013-11-07 20:01:03.000000",8,17
43,8222,"2013-11-13 13:56:55.000000",8,17
44,1458,"2013-11-10 09:42:35.000000",8,17
45,7011,"2013-11-08 04:57:31.000000",8,18
46,9111,"2013-11-09 00:05:24.000000",8,18
47,8150,"2013-11-08 08:40:59.000000",8,15
48,2510,"2013-11-10 08:43:31.000000",9,21
49,3697,"2013-11-12 02:43:56.000000",9,20
50,5420,"2013-11-08 03:30:03.000000",9,19
51,9341,"2013-11-09 18:18:19.000000",9,21
52,3461,"2013-11-13 13:05:00.000000",9,22
53,844,"2013-11-09 05:50:58.000000",10,27
54,1410,"2013-11-13 07:13:10.000000",10,27
55,9333,"2013-11-09 23:44:59.000000",10,25
56,2731,"2013-11-10 09:37:13.000000",10,25
57,5017,"2013-11-13 03:57:23.000000",10,27
58,4111,"2013-11-11 08:27:44.000000",10,26
59,3233,"2013-11-08 19:50:45.000000",10,23
60,5949,"2013-11-11 10:43:04.000000",10,23
61,626,"2013-11-07 23:47:38.000000",11,28
62,8296,"2013-11-07 08:31:35.000000",11,32
63,4522,"2013-11-09 07:23:56.000000",11,28
64,8362,"2013-11-07 13:30:08.000000",11,30
65,9460,"2013-11-13 08:58:12.000000",11,32
66,9711,"2013-11-11 23:36:04.000000",12,35
67,963,"2013-11-08 23:12:25.000000",12,33
68,295,"2013-11-10 09:21:48.000000",12,33
69,10,"2013-11-10 08:03:56.000000",13,38
70,2838,"2013-11-09 21:30:15.000000",13,38
71,564,"2013-11-09 02:43:45.000000",14,40
72,593,"2013-11-08 12:55:34.000000",14,40
73,4154,"2013-11-09 02:31:12.000000",14,40
74,6070,"2013-11-11 03:58:53.000000",15,41
75,7256,"2013-11-07 19:12:18.000000",15,41
76,6071,"2013-11-08 19:28:57.000000",15,41
77,5365,"2013-11-09 15:35:23.000000",15,41
